GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Main module of the application,pl.edu.agh.kis.pz1,CommandFactory,0,79,0,9,0,14,0,10,0,2
Main module of the application,pl.edu.agh.kis.pz1,Main,60,34,5,1,24,8,6,3,3,3
Main module of the application,pl.edu.agh.kis.pz1.commands,HelpCommand,0,7,0,0,0,3,0,2,0,2
Main module of the application,pl.edu.agh.kis.pz1.commands,Command,5,83,1,9,2,25,2,8,1,3
Main module of the application,pl.edu.agh.kis.pz1.commands,ViewCommand,0,56,0,4,0,16,0,4,0,2
Main module of the application,pl.edu.agh.kis.pz1.commands,ExitCommand,3,21,0,0,0,8,1,3,1,3
Main module of the application,pl.edu.agh.kis.pz1.commands,ListCommand,0,68,2,6,0,14,2,4,0,2
Main module of the application,pl.edu.agh.kis.pz1.commands,SaveCommand,0,9,0,0,0,4,0,2,0,2
Main module of the application,pl.edu.agh.kis.pz1.commands,CheckinCommand,8,217,2,10,2,71,2,9,0,5
Main module of the application,pl.edu.agh.kis.pz1.commands,CheckoutCommand,0,31,0,0,0,9,0,2,0,2
Main module of the application,pl.edu.agh.kis.pz1.commands,PricesCommand,0,39,0,2,0,9,0,3,0,2
